Symbol,Date,Prev_Close,Open_Price,High_Price,Low_Price,Close_Price
SUNTV,21-Nov-18,609.05,608,627,608,621.35
SUNTV,22-Nov-18,621.35,625,625,598.25,600.05
SUNTV,26-Nov-18,600.05,601.55,609.8,593.75,602.4
SUNTV,27-Nov-18,602.4,603.5,613.4,598.1,611.8
SUNTV,28-Nov-18,611.8,614.9,618.5,605.25,610.65
SUNTV,29-Nov-18,610.65,612.1,619.75,605,616.25
SUNTV,30-Nov-18,616.25,611.55,611.55,587.05,591.55
SUNTV,3-Dec-18,591.55,594.75,601.2,589.3,595.15
SUNTV,4-Dec-18,595.15,595.2,603.8,585.6,590.05
SUNTV,5-Dec-18,590.05,589.65,593.55,568.2,573.85
SUNTV,6-Dec-18,573.85,571.45,596.65,565,590.7
SUNTV,7-Dec-18,590.7,591,598.85,578.7,594.45
SUNTV,10-Dec-18,594.45,586.8,586.8,573.3,575.05
SUNTV,11-Dec-18,575.05,566,579.5,552.85,559.75
SUNTV,12-Dec-18,559.75,560,570.85,558,566.8
SUNTV,13-Dec-18,566.8,570.3,577.7,557.65,560.7
SUNTV,14-Dec-18,560.7,558.8,578.75,554.7,575.55
SUNTV,17-Dec-18,575.55,575.55,582.5,569.1,574.4
SUNTV,18-Dec-18,574.4,572,590.4,570,588.85
SUNTV,19-Dec-18,588.85,592.5,599.5,586.45,596.9
SUNTV,20-Dec-18,596.9,595,607,593,596.85
SUNTV,21-Dec-18,596.85,599,606.75,585.5,590.9
SUNTV,24-Dec-18,590.9,595.05,598.9,575.2,576.95
SUNTV,26-Dec-18,576.95,578.7,580,554,575.3
SUNTV,27-Dec-18,575.3,578,591.35,577.25,586.2
SUNTV,28-Dec-18,586.2,591,618.5,588.2,615.3
SUNTV,31-Dec-18,615.3,619.05,620.45,605.55,607.75
SUNTV,1-Jan-19,607.75,610.8,614.5,603.45,607.85
SUNTV,2-Jan-19,607.85,607.7,612.85,598.45,604.6
SUNTV,3-Jan-19,604.6,609.45,609.45,583.05,585.1
SUNTV,4-Jan-19,585.1,589.45,595.95,585.4,592.2
SUNTV,7-Jan-19,592.2,597.8,604.4,592.4,595.35
SUNTV,8-Jan-19,595.35,597.25,602.8,590.75,599.85
SUNTV,9-Jan-19,599.85,601.5,603.4,585.1,588.9
SUNTV,10-Jan-19,588.9,588,597.7,588,590.05
SUNTV,11-Jan-19,590.05,592,594.5,584,588.9
SUNTV,14-Jan-19,588.9,588.9,590.85,576,579
SUNTV,15-Jan-19,579,568,581.25,568,579.55
SUNTV,16-Jan-19,579.55,580.4,590,571.5,573.45
SUNTV,17-Jan-19,573.45,573.95,576.45,563.2,564.95
SUNTV,18-Jan-19,564.95,568,568,513.15,525.2
SUNTV,21-Jan-19,525.2,524,535.75,509,512.1
SUNTV,22-Jan-19,512.1,515.3,523.2,510.05,519.25
SUNTV,23-Jan-19,519.25,521.45,536.9,520.1,529.45
SUNTV,24-Jan-19,529.45,530.75,539.65,521.5,527
SUNTV,25-Jan-19,527,530.25,536.6,486.55,505.85
SUNTV,28-Jan-19,505.85,511,543.5,493.4,532.35
SUNTV,29-Jan-19,532.35,529.1,541.7,521,533.45
SUNTV,30-Jan-19,533.45,530.2,541.15,525.4,533.65
SUNTV,31-Jan-19,533.65,534,536.8,520.15,530.1
SUNTV,1-Feb-19,530.1,530,547.3,523.5,532.15
SUNTV,4-Feb-19,532.15,530.7,532.3,514.75,524.1
SUNTV,5-Feb-19,524.1,523.15,528.65,513.1,522
SUNTV,6-Feb-19,522,523.35,547.9,516.6,543.55
SUNTV,7-Feb-19,543.55,541,550,530,532.35
SUNTV,8-Feb-19,532.35,534.8,535.6,518,521
SUNTV,11-Feb-19,521,550,576.7,535.3,574.05
SUNTV,12-Feb-19,574.05,570.25,578.5,558,560.8
SUNTV,13-Feb-19,560.8,557,569.75,551,553.6
SUNTV,14-Feb-19,553.6,554.4,587,544.8,579.1
SUNTV,15-Feb-19,579.1,576.1,578.05,538.55,547
SUNTV,18-Feb-19,547,543.85,554.35,540.5,545.5
SUNTV,19-Feb-19,545.5,545,563.45,537.2,557.65
SUNTV,20-Feb-19,557.65,561.1,572.4,556.2,567.25
SUNTV,21-Feb-19,567.25,565,592,562.1,587.6
SUNTV,22-Feb-19,587.6,588,598.5,582.3,585.9
SUNTV,25-Feb-19,585.9,589,594.6,581.6,587.05
SUNTV,26-Feb-19,587.05,584,615.9,571.1,605.2
SUNTV,27-Feb-19,605.2,608.95,617.65,590,593.7
SUNTV,28-Feb-19,593.7,595.25,611.8,587.5,608.25
SUNTV,1-Mar-19,608.25,605,618,605,615.9
SUNTV,5-Mar-19,615.9,617,627.9,613.1,625.8
SUNTV,6-Mar-19,625.8,625,633.75,615.4,621.75
SUNTV,7-Mar-19,621.75,622,626.95,610.65,613.7
