Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
INDIGO,18-Dec-18,1060.1,1070,1124,1062,1121,1108.5
INDIGO,19-Dec-18,1108.5,1130,1155.6,1125,1152,1151.45
INDIGO,20-Dec-18,1151.45,1151.45,1162,1141.25,1153.25,1152.05
INDIGO,21-Dec-18,1152.05,1159.8,1168.2,1139.05,1151.25,1154.45
INDIGO,24-Dec-18,1154.45,1155,1174.9,1148.1,1163.2,1161.4
INDIGO,26-Dec-18,1161.4,1174,1174,1142.55,1156.4,1156.25
INDIGO,27-Dec-18,1156.25,1139.9,1175.75,1139.9,1169,1163.8
INDIGO,28-Dec-18,1163.8,1151.2,1188,1147.05,1176,1178.5
INDIGO,31-Dec-18,1178.5,1175,1176.2,1159.05,1164.6,1165.05
INDIGO,1-Jan-19,1165.05,1174.95,1183.2,1160.15,1162,1165.6
INDIGO,2-Jan-19,1165.6,1170,1179.1,1154.2,1162.6,1161
INDIGO,3-Jan-19,1161,1162.65,1171.95,1145.55,1156.1,1156.55
INDIGO,4-Jan-19,1156.55,1156.2,1156.55,1133.4,1141.75,1143.2
INDIGO,7-Jan-19,1143.2,1125.05,1150.1,1105.6,1114.5,1113.75
INDIGO,8-Jan-19,1113.75,1109.4,1128.35,1101.05,1110.35,1110.3
INDIGO,9-Jan-19,1110.3,1114.9,1116.05,1093,1103,1104.85
INDIGO,10-Jan-19,1104.85,1089.95,1102.7,1085.9,1099.95,1097
INDIGO,11-Jan-19,1097,1095,1095,1054.2,1058,1057.45
INDIGO,14-Jan-19,1057.45,1058,1086,1052.55,1076,1081.65
INDIGO,15-Jan-19,1081.65,1077,1091,1061.55,1085.7,1082.95
INDIGO,16-Jan-19,1082.95,1081.7,1146,1074.75,1138,1136.55
INDIGO,17-Jan-19,1136.55,1138,1141,1101.5,1112.95,1112.9
INDIGO,18-Jan-19,1112.9,1104.9,1118.5,1068.1,1078,1076
INDIGO,21-Jan-19,1076,1072,1079.4,1055.35,1063.4,1062.95
INDIGO,22-Jan-19,1062.95,1055.8,1130,1046.65,1121,1120.65
INDIGO,23-Jan-19,1120.65,1120,1126,1095.55,1111,1109.3
INDIGO,24-Jan-19,1109.3,1072.1,1189,1072.1,1183.65,1178.55
INDIGO,25-Jan-19,1178.55,1180,1190,1152.7,1165,1161.75
INDIGO,28-Jan-19,1161.75,1157.2,1181.95,1143.25,1172.15,1171.3
INDIGO,29-Jan-19,1171.3,1170,1198.9,1165.3,1194,1184.65
INDIGO,30-Jan-19,1184.65,1188.3,1188.55,1168,1175.55,1174.75
INDIGO,31-Jan-19,1174.75,1175.15,1194,1157.1,1185.55,1187.8
INDIGO,1-Feb-19,1187.8,1185,1201.65,1163.9,1174.15,1174.1
INDIGO,4-Feb-19,1174.1,1169.4,1172.4,1118.1,1161,1160.85
INDIGO,5-Feb-19,1160.85,1151,1180,1151,1174.3,1174.4
INDIGO,6-Feb-19,1174.4,1174,1215.9,1169.4,1200,1197.05
INDIGO,7-Feb-19,1197.05,1182,1217,1182,1207.8,1203.95
INDIGO,8-Feb-19,1203.95,1196.15,1212.8,1189.3,1197.4,1195.1
INDIGO,11-Feb-19,1195.1,1190,1199.1,1164,1186.15,1187.05
INDIGO,12-Feb-19,1187.05,1184.45,1189.7,1169,1174.1,1174.25
INDIGO,13-Feb-19,1174.25,1170.1,1184.4,1152.6,1164.95,1162.15
INDIGO,14-Feb-19,1162.15,1137.1,1183.95,1137.1,1166.8,1171.95
INDIGO,15-Feb-19,1171.95,1156,1159.7,1119.25,1157,1148.35
INDIGO,18-Feb-19,1148.35,1138,1143.95,1100,1104,1106.15
INDIGO,19-Feb-19,1106.15,1096.1,1122.95,1091.5,1102.5,1101.05
INDIGO,20-Feb-19,1101.05,1105,1149.5,1086.5,1145.5,1140
INDIGO,21-Feb-19,1140,1119.8,1134.3,1107.05,1113,1111.65
INDIGO,22-Feb-19,1111.65,1113,1128.65,1107.35,1115.8,1114.3
INDIGO,25-Feb-19,1114.3,1115,1124.5,1108.25,1118,1117.55
INDIGO,26-Feb-19,1117.55,1117.4,1137.5,1106,1126,1128.2
INDIGO,27-Feb-19,1128.2,1132,1142.4,1078.3,1104.35,1112.3
INDIGO,28-Feb-19,1112.3,1118,1130.85,1086.05,1123,1125.35
INDIGO,1-Mar-19,1125.35,1113.95,1126.85,1093.15,1122,1122.15
INDIGO,5-Mar-19,1122.15,1117.4,1198.9,1117,1190,1186.15
INDIGO,6-Mar-19,1186.15,1186.3,1239.6,1179.75,1234.6,1228.7
INDIGO,7-Mar-19,1228.7,1234,1234,1210,1220.1,1221.15
INDIGO,8-Mar-19,1221.15,1220,1256,1216.7,1243,1243
INDIGO,11-Mar-19,1243,1247.1,1308.5,1245.5,1305,1301.95
INDIGO,12-Mar-19,1301.95,1305,1308.35,1261.65,1267.25,1269.7
INDIGO,13-Mar-19,1269.7,1280,1326,1280,1296.25,1301.7
INDIGO,14-Mar-19,1301.7,1302.7,1327.95,1290.55,1300,1299.8
INDIGO,15-Mar-19,1299.8,1305.9,1314.9,1286,1301,1296.05
INDIGO,18-Mar-19,1296.05,1300,1329,1300,1323.25,1320.75
INDIGO,19-Mar-19,1320.75,1320,1339.5,1320,1330,1326.35
INDIGO,20-Mar-19,1326.35,1336,1434,1327.25,1417.25,1423.7
INDIGO,22-Mar-19,1423.7,1405,1462,1403,1426,1427.05
INDIGO,25-Mar-19,1427.05,1440,1452,1376.2,1392.8,1384.45
INDIGO,26-Mar-19,1384.45,1376,1430,1352.25,1422.35,1423.15
INDIGO,27-Mar-19,1423.15,1421,1421,1394,1400,1401.3
INDIGO,28-Mar-19,1401.3,1396,1447.9,1388.1,1442,1438.5
INDIGO,29-Mar-19,1438.5,1433,1449.95,1421.5,1427.2,1428.15
INDIGO,1-Apr-19,1428.15,1426.25,1442,1403,1420,1416.8
INDIGO,2-Apr-19,1416.8,1419,1419,1377.1,1382.5,1382.95
INDIGO,3-Apr-19,1382.95,1388,1396,1361.35,1364.95,1365.25
INDIGO,4-Apr-19,1365.25,1380,1441.6,1370.2,1430,1431.95
INDIGO,5-Apr-19,1431.95,1435.55,1449.1,1414.55,1416.6,1419.3
INDIGO,8-Apr-19,1419.3,1416.65,1427.45,1391,1408,1413.15
